month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,23924,"chase city, va",*,150050,0,0,34,-0.1053,0.0303,152.5,0.2249,,0,,-1,0,,,0,,-1,6,0,0,73.23232323,0.0555,-0.005,2009.5,-0.0047,0.0993,276179,0.0131,0.3322,40,-0.0909,0.0256,0.1765,0.0186,-0.0053
202007,32934,"melbourne, fl",*,575025,0.0286,,50,-0.1667,,73.5,0.1951,,16,-0.4286,-0.4286,0,,,12,0,-0.5714,46,-0.08,0.122,192.6444834,0.0373,0.0672,2721,0.0108,0.0635,548949,0.0391,0.0836,96,-0.1273,-0.2727,0.92,0.0867,0.4695
202007,12847,"long lake, ny",*,299050,-0.0627,,18,-0.1429,,158,-0.538,,4,0,-0.75,0,,,0,,-1,11,0.375,1.2,216.017316,0.0474,-0.1829,910,-0.3546,-0.2835,287599,-0.0065,-0.3407,29,0,-0.2162,0.6111,0.2302,0.4549
202007,10034,"new york, ny",,450050,0,0.0727,58,0.0741,0.4872,90,0.1613,-0.1743,12,0.5,,0,,,12,,0.5,5,-0.4444,-0.6154,499.999375,-0.0182,,775,-0.0313,,497313,-0.0007,-0.0699,63,0,0.2115,0.0862,-0.0805,-0.2471
202007,47302,"muncie, in",*,41950,0,,40,-0.1837,,79.5,-0.1167,,12,-0.5714,-0.5,0,,,12,0.5,-0.4,20,0.0526,1.5,33.92905072,0.0643,-0.17,1251.5,0.0508,-0.0351,59003,0.1483,-0.2266,60,-0.1176,-0.4,0.5,0.1122,0.413
202007,97136,"rockaway beach, or",*,395050,0,0.0395,72,-0.122,,77,-0.0314,0.0267,32,0.1429,0.6,4,0,,16,-0.5556,-0.4286,33,0,15.5,249.7200353,0.0669,0.0721,1570,-0.001,-0.0303,431119,0.0259,-0.0134,105,-0.087,-0.2105,0.4583,0.0559,0.4431
202007,59752,"three forks, mt",*,412500,0.0314,0.1223,17,0,,58.5,0.3448,-0.064,4,-0.5,0,0,,,0,-1,-1,30,0.0345,0.2,180.4478441,-0.0169,0.3416,2215.5,0.0844,0.0382,1885326,-0.0167,3.1687,47,0.0217,-0.1132,1.7647,0.0588,0.8718
202007,20882,"gaithersburg, md",*,575050,-0.1867,,25,0.1905,,23,0.2432,,16,-0.4286,0,0,,,4,,-0.6667,12,1,0.3333,186.1419251,0.0734,0.1136,2041.5,-0.2776,-0.4493,597823,-0.1333,-0.1945,37,0.3704,-0.4861,0.48,0.1943,0.3371
202007,49855,"marquette, mi",*,324950,0.0484,,61,0,,58.5,0.2062,,24,-0.3333,-0.4,0,,,20,0.6667,-0.375,71,0.029,0.1639,146.1663681,0.0256,0.1518,2219,0.0193,0.0582,475170,0.0297,0.2038,132,0.0154,-0.2667,1.1639,0.0328,0.6513
202007,28445,"holly ridge, nc",,402500,-0.0452,0.0322,197,0,0.0884,85,-0.2237,0.2977,76,0.1875,0.3571,0,-1,-1,32,1,-0.1111,187,-0.0459,0.406,225.4273504,-0.0573,0.0206,1983.5,-0.0305,-0.0296,547060,-0.0266,0.2402,384,-0.0229,0.2229,0.9492,-0.0457,0.2144
